,_id,author,sentiment,time,tweet,url,a_id,title,date_written,org,t_id,candidates
92,704763885694410754,14365762,Positive,2016-03-01 00:00:00,Gingrich: Trump 'messed up' but will survive KKK stumble https://t.co/2wVKrzajZt #politics,http://www.cnn.com/2016/03/01/politics/newt-gingrich-donald-trump-kkk-messed-up/index.html,60487487bccf3b49ab944b2fa45770e8,Gingrich: Trump 'messed up' but will survive KKK stumble,2016-03-01 18:51:50,cnn,704763885694410754,01000
261,690355504967712769,14365762,Positive,2016-01-22 00:00:00,Ron Paul seeks to boost Rand Paul's campaign at Iowa rally https://t.co/yXikXQbe1l #politics,http://www.cnn.com/2016/01/21/politics/ron-paul-rand-paul-iowa-campaign/index.html,b8ea27a59136bfbc1e2b45a8fbf0178e,Ron Paul seeks to boost Rand Paul's campaign at Iowa rally,2016-01-22 01:41:33,cnn,690355504967712769,01000
456,724682207961460741,14365762,Positive,2016-04-25 00:00:00,Clinton knocks Trump's lavish lifestyle  https://t.co/4OlASciWvH #politics,http://www.cnn.com/2016/04/25/politics/hillary-clinton-donald-trump/index.html,dbb00a2e327e1f0de0b6ad908ecea91a,Clinton knocks Trump's lavish lifestyle,2016-04-25 20:03:31,cnn,724682207961460741,01000
579,699971867491364864,14365762,Positive,2016-02-17 00:00:00,Will Republicans return to Reagan's voice on immigration? https://t.co/OYIBQb81BH #politics,http://www.cnn.com/2016/02/17/opinions/will-republicans-return-to-reagan-on-immigration-palomarez/index.html,8f9257867f151c52641d553b56b1e163,Will Republicans return to Reagan's view on immigration? (Opinion),2016-02-17 13:38:05,cnn,699971867491364864,01000
654,712662711935569921,219433169,Negative,2016-03-23 00:00:00,"Why security experts called Trump's response to the Belgium attacks 'preposterous' https://t.co/YmnBP7jPvf #Trump ""We have to be smaaart""",https://www.washingtonpost.com/news/post-nation/wp/2016/03/22/why-security-experts-called-donald-trumps-response-to-the-belgium-attacks-preposterous/,41b7848d66a83a5e373b80e9ca5fca93,Why security experts called Donald Trump's response to the Belgium attacks 'preposterous',2016-03-22 22:05:47,washpo,712662711935569921,01000
781,698737057800314881,14365762,Positive,2016-02-14 00:00:00,Memorable quotes from the GOP debate https://t.co/VgIUyOkglP #politics,http://www.cnn.com/2016/02/13/politics/republican-debate-best-quotes/index.html,6d0d5e79c0a6bbd46bdd80d25f0257a9,The memorable quotes of the Republican debate,2016-02-14 04:11:13,cnn,698737057800314881,01000
802,697065431807500291,14365762,Positive,2016-02-09 00:00:00,Trump on Bloomberg bid: 'I hope he jumps in' https://t.co/pSqFwBzYdT #politics,http://www.cnn.com/2016/02/09/politics/donald-trump-michael-bloomberg-2016-election/index.html,81fa6d6869a69cee4fe671c05c938c05,Trump on Bloomberg bid: 'I hope he jumps in',2016-02-09 14:09:42,cnn,697065431807500291,01000
1017,687426444243415041,14365762,Neutral,2016-01-14 00:00:00,"Trump rejects white nationalist support, but not voters' anger https://t.co/fBKS3Kkz38 #politics",http://www.cnn.com/2016/01/13/politics/donald-trump-white-nationalist-robocalls/index.html,2206e492716753b8884d667236ba0c2b,"Trump rejects white nationalist support, but not voters' anger",2016-01-13 23:49:54,cnn,687426444243415041,01000
1119,693851826014273536,14365762,Negative,2016-01-31 00:00:00,Trump: 'Cruz is a total liar' https://t.co/9KA5gDE4oh #politics,http://www.cnn.com/2016/01/31/politics/donald-trump-ted-cruz-health-care-obamacare/index.html,48cfc5003657e8d4dbe75af23d7db2c0,Donald Trump: 'Ted Cruz is a total liar',2016-01-31 17:08:38,cnn,693851826014273536,01000
1166,691281580623577090,14365762,Positive,2016-01-24 00:00:00,Chris Christie blames campaign for low approval ratings https://t.co/RD5LU7j1wI #politics,http://www.cnn.com/2016/01/24/politics/chris-christie-approval-ratings-new-jersey/index.html,66e5789738a9ff64cf143c037cd848b8,Chris Christie blames presidential campaign for low approval ratings,2016-01-24 15:13:53,cnn,691281580623577090,01000
