author,follower_ct,friends_count,favourites_count,verified
23657527,1383,1292,13,False
72149482,1270,685,752,False
51684249,,,,
216068678,362,252,0,False
137840213,3377,73,0,False
9300262,1590443,1221,2,True
3452766143,331,1115,48,False
380125872,208,0,0,False
2843901666,8218,8055,574,False
219913533,3788,82,0,False
465446166,196,200,11,False
4842961565,158,0,13,False
4369315334,7,40,0,False
2352351271,186,78,270,False
213711475,3644,3357,191,False
103576819,811,1879,33,False
128833664,2047,1531,78,False
138223751,299,379,0,False
351039315,290,158,13,False
2458112414,3534,31,0,False
3393088392,777,2947,26,False
759251,25474139,1118,1390,True
110466097,5678,744,829,False
2274839983,294,6,3,False
25945980,438,2078,93,False
138218746,157,155,0,False
42826190,1491,0,0,False
17398510,1600,1609,72,False
2746186589,9144,10075,51,False
102388126,927,410,50,False
21428264,74022,5302,180,False
603798545,414,1038,7,False
4920999862,338,63,0,False
458015801,2532,1025,15504,False
16242158,610,22,6,False
787546010,1547,170,0,False
273015689,929,423,17,False
326616900,2292,2552,5,False
266876176,344,395,0,False
1493962777,26,72,858,False
242011966,3080,1096,0,False
4900202957,65,1,4,False
336041336,355,166,1009,False
1382371712,1180,794,850,False
35402311,1550,1729,3,False
17728732,2084,1512,386,False
59500657,24443,786,947,False
220582239,2443,26,0,False
32305967,1329,1818,0,False
2976014469,2020,1160,255,False
72684249,476,19,0,False
1554254419,34,121,0,False
14365762,4316,5044,22,False
44356510,1256,798,108,False
41829280,11673,11655,262,False
13850422,624765,768,177,True
347856887,1623,556,9,False
666893,495,288,0,False
390381898,525,82,35,False
3299093231,157,0,0,False
238027836,2876,1688,2,False
2823283968,519,272,12,False
4368329412,14,44,2,False
15195038,8299,6586,593,False
145213760,800,162,2,False
179912967,3285,3576,5659,False
1965318876,1877,1307,47,False
17544215,271,234,68,False
242674159,1109,2158,46,False
3585493334,253,487,2,False
518663799,1423,1032,459,False
825772045,6291,5273,865,False
138228941,176,392,0,False
441660597,759,1829,0,False
4721189868,620,668,193,False
28818582,790,245,0,False
91295286,805,1110,0,False
143599815,3308,3538,0,False
345517008,2685,2168,8,False
8442262,609,379,46,False
2455802329,143,451,4,False
31559242,9254,1,0,False
4627478657,5599,4708,10755,False
25361741,2736,4415,14535,False
3973558348,436,390,27,False
1412933454,401,31,0,False
14549486,955,2097,644,False
36987190,2462,2196,0,False
299642852,352,10,0,False
216773337,249,560,0,False
32498028,99,141,1100,False
4368819793,39,82,0,False
2371825659,1180,742,16692,False
23812877,2649,3012,4,False
711881270,1716,2029,433,False
94259381,529,437,8,False
3243261234,596,7,65,False
17097801,249,791,8,False
110817971,222,4,0,False
3089064510,6608,338,2147,False
3462931097,2510,768,0,False
23228167,304,391,206,False
59554714,1387,1271,303,False
1595026933,58,761,0,False
2746597938,1061,1136,6145,False
3484664416,47,71,0,False
31330515,1882,1383,46,False
587782307,5126,5105,9449,False
24481831,80147,4907,902,False
988156549,12420,619,495,False
35009948,1360,1432,0,False
59637228,115,240,51,False
16911584,893,578,520,False
421529297,268,539,2173,False
2510356861,80,42,2388,False
154588808,854,286,129,False
457039206,2060,1675,184,False
219433169,287,996,21,False
461677954,2116,1495,0,False
17357759,2527,4100,3334,False
301954928,504,738,28,False
1424071273,1585,1015,1913,False
16311797,92981,233,839,True
951915308,3134,932,2198,False
54699014,7148,4006,93,False
19416435,416,764,34,False
3890143611,1,0,0,False
3108351,11093432,1062,1296,True
3935017274,,,,
5972162,7595,7543,249,False
87063281,21675,1062,1681,True
15368940,44859,22884,965,False
1739347796,103,53,0,False
1594970970,58,755,0,False
235133788,4347,3154,2050,False
114250263,17,12,0,False
1337701542,1128,60,1,False
592236456,196,354,7130,False
385469663,1071,1885,35,False
537846035,,,,
546744362,349,1030,18,False
420484022,325,161,514,False
22842302,18824,23,0,False
108816293,619,410,183,False
16953756,5559,1658,6,False
2271203154,2693,2874,110,False
227727275,334,939,4204,False
291774022,11277,9674,9215,False
403158792,625,400,5050,False
3847451,684,645,1145,False
44603448,750,128,130,False
35241709,922,1719,135,False
849342841,3230,2947,5181,False
904066344,661,415,298,False
1710547688,41,0,0,False
1622764956,76,276,2,False
1942242588,778,626,5869,False
4426507168,1007,1218,0,False
16672155,825,2006,52,False
399145586,277,1203,181,False
227373977,23211,2897,6126,True
46711635,225,1998,7,False
173699976,401,684,466,False
19537408,112,42,840,False
122819549,6822,6451,8752,False
1710537865,7,99,0,False
275796663,347,1178,1415,False
3008410067,,,,
15515169,65813,11725,1425,True
15646377,128,31,90,False
4654869147,122,200,58,False
104971300,7080,7521,6163,False
15694631,375,516,1,False
48310959,472,964,82,False
752404544,,,,
222622640,29655,2337,16688,True
78569026,58540,26439,1138,False
28052578,382,67,11,False
939616267,187,130,0,False
22507598,2593,2411,134,False
4242964449,108,126,1692,False
52385836,1239,2121,1103,False
4880736665,27793,3911,1496,False
48956768,1629,1865,624,False
20077668,616,1434,20,False
347254607,292,422,340,False
28365586,837,2262,5229,False
64088396,47543,1619,268,True
20808984,3250,2196,979,False
19102399,266,329,3247,False
860807707,4236,4093,82045,False
31915600,648,402,116,False
20834340,1108,2828,1583,False
218276360,6232,711,2423,True
3681149729,188,194,3028,False
2886421170,,,,
117509692,4553,642,131,False
52989817,7735,7583,224,False
60100694,1501,1950,17,False
3711514341,1539,2528,5,False
312477667,48,280,60,False
19458818,15742,8528,6330,False
70742961,4542,4597,3254,False
121325408,101,310,342,False
320338274,1322,2007,3887,False
32905835,143,366,23,False
114045732,3,22,5,False
16118697,963,973,186,False
17147215,1644,2394,4757,False
63502461,10103,305,299,False
444768566,38,13,102,False
401796789,149,286,452,False
15432406,1531,369,119,False
236026761,55457,3705,7380,True
4122870260,,,,
14654038,4351,823,5375,False
3016742921,152,213,427,False
38889717,93,239,75,False
3408762575,2520,639,10467,False
955736706,1462,430,0,False
138747687,267,710,15480,False
225684809,2811,2525,4467,False
61577178,3151,4745,12541,False
1059649514,274,250,91,False
2888048500,120,285,213,False
54933583,82,115,151,False
378122807,589,832,2058,False
491683083,3260,387,145,False
16180245,20,109,37,False
364689657,638,465,509,False
229207628,1624,2172,17877,False
365949021,20,70,8,False
22990869,309,333,90,False
810188683,411,348,0,False
200952002,352,1990,7165,False
17028079,1525,2057,5999,False
17693635,280,296,30,False
25194540,11796,11690,2796,False
161734081,618,433,1299,False
582426351,133,292,4862,False
90613781,8328,8482,12291,False
18727438,4338,2422,78,False
352574876,77,155,224,False
270437243,8603,5516,23856,False
64460304,762,878,25866,False
143891817,348,1076,556,False
509285375,,,,
2841377931,1893,1843,1241,False
1096105645,3484,3274,19375,False
381263872,49,50,0,False
30953357,925,1273,3538,False
3890468908,2,0,0,False
763403,1849,333,2533,False
34973389,3217,3224,563,False
16376112,681,2077,34,False
133546344,5262,5707,109,False
1146424802,501,1128,2566,False
86985994,3594,3290,1501,False
139644354,247,1258,795,False
2163374532,307,353,3409,False
21075892,892,2044,229,False
44632333,2204,1636,23135,False
424400406,318,1000,1095,False
262627111,100452,99106,1741,False
3077240301,93,387,355,False
472322926,137,695,955,False
13160652,3684,3654,440,False
800791814,3,18,0,False
234844757,1499,1395,16576,False
1013558473,2537,147,512,False
138153345,1232,2148,1555,False
3264123186,109,16,3534,False
601211888,1143,571,5418,False
18416839,5541,3824,30,False
318073012,2616,2605,1209,False
3305387394,440,1087,3942,False
811039837,669,1680,1532,False
264129564,13664,13706,292,False
90116111,1415,2188,400,False
408757827,597,1522,315,False
464767923,8845,8447,3495,False
3401497234,680,1508,3993,False
17223391,625,2945,883,False
21689408,2722,94,4951,True
2691316478,189,643,634,False
52662757,2189,2233,2,False
297101242,1397,569,0,False
39303002,1269,130,60,False
336323449,735,169,202,False
16005023,239,630,1579,False
949162658,806,1636,31344,False
465743152,372,521,1105,False
17895921,1325,1291,5754,False
4227401326,,,,
118851701,169,543,370,False
84108069,438,475,4,False
253148437,387,402,1638,False
4495560806,86,174,0,False
91150764,6067,810,225,False
170101858,153,1054,1188,False
556196195,12,34,4,False
47712082,420,962,139,False
4874707769,4657,4948,43,False
634734888,20723,1385,46044,True
1950160328,51,44,200,False
210460833,286,1280,60,False
16228257,36542,9195,7410,True
19037624,142,154,14,False
15665774,30,102,12,False
51596011,3128,2054,5,False
398823536,81,132,37,False
183353672,4710,1009,1285,False
37525995,70,303,4,False
22523182,31997,18963,8212,False
16160943,10263,9780,631,False
1334676336,2419,2323,1337,False
2698953733,169,181,3528,False
20966916,44,349,0,False
61267358,2941,1002,276,True
4360523415,8,2,0,False
246593922,1866,788,857,False
3375129202,877,699,6852,False
281792021,867,458,4142,False
2300062526,559,1684,327,False
226484976,4168,4452,396,False
123059570,1688,1822,17243,False
239025975,4371,4577,43567,False
3003581225,862,814,14,False
37005676,1012,1310,3980,False
21800701,251,263,176,False
302492414,46,88,0,False
29445392,390,1065,316,False
17723632,12085,10960,16917,False
385849067,79,1025,10,False
126952096,2227,2037,121,False
2559161437,,,,
241776425,19614,19998,94327,False
4634368761,68,209,713,False
4837774045,,,,
77197634,17104,15974,3803,False
1592313872,,,,
1703115326,,,,
19428892,3143,3429,2844,False
993358020,5575,5712,4355,False
1368571,3393,375,1139,False
27451096,60,152,9,False
62873769,381,676,1672,False
42638933,996,1760,47,False
34407624,275,1105,100,False
141654097,1482,1066,31,False
402484270,286,406,2457,False
1442069419,1010,1167,332,False
424594686,783,388,4620,False
4777033921,2,2,0,False
963176808,1733,985,909,False
135315293,2764,2488,7879,False
21024360,2643,4600,1064,False
22586019,2273,1502,546,False
215141944,1305,1599,1,False
15057759,611,2011,2,False
32298202,1889,2529,2983,False
291513513,114774,101284,1808,False
21350370,688,1355,99,False
666063,265,175,28,False
2453902872,27,62,4,False
15257682,34548,7092,367,False
111958328,5709,6240,0,False
17836882,237140,1391,3681,True
697353,799,1554,294,False
1087449247,129,179,1398,False
2267165156,1079,589,9261,False
18072119,3447,1495,4203,False
374547405,2766,3100,17423,False
139419956,539,244,401,False
17669448,10470,573,24,False
26131382,30,49,167,False
113250460,3254,1843,8505,False
563239270,1105,1974,280,False
3270656238,473,100,0,False
216433448,365,1576,15,False
509119304,620,454,1,False
33640333,149,118,110,False
278345370,322,910,634,False
464982966,81,36,34,False
60061504,752,388,16980,False
1228236613,312,137,1045,False
30547952,8320,8308,418,False
86189825,469,409,5060,False
2890210305,676,919,6267,False
218252573,525,334,385,False
37619071,976,1770,67,False
47584729,458,2644,474,False
294479557,491,208,5761,False
139931824,107,282,4193,False
13227982,151,102,340,False
142894033,248,354,173,False
58600829,149,325,80,False
2718411805,1163,1005,598,False
287816501,851,484,5841,False
16422635,1159,1179,3392,False
91689234,1266,2476,2858,False
2982652462,10,40,38,False
1703489076,693,568,0,False
1390413780,306,90,483,False
614236793,50,122,2443,False
17763421,13429,385,417,False
21695870,61,77,8,False
15782404,493,424,137,False
