,_id,author,sentiment,time,tweet,url,a_id,title,date_written,org,t_id,candidates
3,689138391150125057,216068678,Neutral,2016-01-18 00:00:00,politico: Evangelical leader blasts Falwell for hosting Trump https://t.co/a7P5cx3NbS | AP Photo https://t.co/gQuiMFAC2J,http://www.politico.com/story/2016/01/russell-moore-trump-217939,2af13bff12e6b12a5381da349b4ca69f,Evangelical leader blasts Falwell for hosting Trump,2016-01-18 17:12:23,politico,689138391150125057,00010
51,685269085328961537,216068678,Negative,2016-01-08 00:00:00,politico: State Dept. denies that HillaryClinton email releases are a 'mess' https://t.co/9m1Ofg6SVs | Getty https://t.co/A4vGB2MCZg,http://www.politico.com/story/2016/01/hillary-clinton-emails-state-department-denies-mess-217461,402f087539e44cd8ebdffe765f3dd145,State Dept. denies that Clinton email releases are a 'mess',2016-01-07 22:51:22,politico,685269085328961537,00010
130,692212147372294144,216068678,Positive,2016-01-27 00:00:00,politico: .JebBush super PAC takes aim at MarcoRubio's credit card history https://t.co/KYoYJMojL0 | Getty https://t.co/DMncrJGhmf,http://www.politico.com/story/2016/01/jeb-bush-marco-rubio-super-pac-218255,9820afc73ead6cb60c9ad65da64ea042,Bush super PAC takes aim at Rubio's credit card history,2016-01-26 22:22:57,politico,692212147372294144,00010
156,692720042677506048,216068678,Negative,2016-01-28 00:00:00,politico: RT PoliticoCharlie: Companies with GOP convention plans worry about the risks of associating their brand… https://t.co/AuFz3uqPSa,http://www.politico.com/story/2016/01/donald-trump-cleveland-convention-republicans-brand-218297,c662f603ca2086fd74c8b4f848a453b3,Companies worry Trump-led convention could hurt brands,2016-01-28 10:19:12,politico,692720042677506048,00010
159,692477879096119298,216068678,Neutral,2016-01-27 00:00:00,"politico: With no Trump, Cruz goes from hunter to hunted https://t.co/XtYzW0HkCS | Getty https://t.co/7LQO56ZHUU",http://www.politico.com/story/2016/01/ted-cruz-donald-trump-debate-iowa-218302,c746e67e2fd4dbc00096b98377a4d32d,"With no Trump, Cruz goes from hunter to hunted",2016-01-27 22:26:05,politico,692477879096119298,00010
164,696108188748423168,441660597,Neutral,2016-02-06 00:00:00,CNN:  Bush on Trump: 'The guy needs therapy' https://t.co/jfeI8tVcax #Democrats #Dems #Obama #TopProg #p2 #Liberal #Obama2012 #Change,http://www.cnn.com/2016/02/06/politics/jeb-bush-isis-donald-trump/index.html,b32363edf421952fc116b2a3cd351025,Jeb Bush on Donald Trump: 'The guy needs therapy',2016-02-06 22:27:48,cnn,696108188748423168,00010
211,710000820503363584,441660597,Neutral,2016-03-16 00:00:00,CNN:  What's going on in Missouri? https://t.co/JfR6tY6ni4 #Democrats #Dems #Obama #TopProg #p2 #Liberal #Obama2012 #Change,http://www.cnn.com/2016/03/16/politics/super-tuesday-missouri-delegates/index.html,64dc36c35af1494a21d826a72a9753a4,What's going on in Missouri?,2016-03-16 08:01:13,cnn,710000820503363584,00010
220,689413695911256065,441660597,Positive,2016-01-19 00:00:00,CNN:  Cruz's New Hampshire dream: Bury Marco Rubio https://t.co/gbvmDRH3wG #Democrats #Dems #Obama #TopProg #p2 #Liberal #Obama2012 #Change,http://www.cnn.com/2016/01/19/politics/ted-cruz-marco-rubio-new-hampshire/index.html,d389063bfd47a882cacbb80ce0535fe5,Cruz's New Hampshire dream: Bury Marco Rubio,2016-01-19 11:34:38,cnn,689413695911256065,00010
221,689887382972284928,216068678,Neutral,2016-01-20 00:00:00,politico: Ted Cruz refuses to budge in opposition to ethanol mandate https://t.co/4M0cABZAi8 | AP photo https://t.co/gUVJYNM2vB,http://www.politico.com/story/2016/01/ted-cruz-ethanol-iowa-218016,6527c3e60bcfbac35a28d15e947eedb6,Ted Cruz refuses to budge in opposition to ethanol mandate,2016-01-20 15:40:23,politico,689887382972284928,00010
271,703042923106062336,216068678,Neutral,2016-02-26 00:00:00,nytpolitics: Marco Rubio during a heated exchange with Donald Trump during the #GOPDebate https://t.co/qANzF1AuK6 https://t.co/inbbIRuKgO,http://www.nytimes.com/live/republican-debate-cnn-february-2016/,c5dbd5014651942000f1c3aefba5a077,Trump Is Main Target in Final Debate Before Super Tuesday,2016-02-26 01:12:51,nyt,703042923106062336,00010
