,_id,author,sentiment,time,tweet,url,a_id,title,date_written,org,t_id,candidates
34,697761325720608768,25945980,Neutral,2016-02-11 00:00:00,5 things to watch in debate tonight: Hillary Clinton built one of the best-organized campaigns in history -- a... https://t.co/ocH3Edo1AY,http://www.cnn.com/2016/02/11/politics/democratic-debate-things-to-watch/index.html,8466f9f941d9e576265717d6e8d17d9e,5 things to watch: Thursday's Democratic debate,2016-02-11 11:21:42,cnn,697761325720608768,00100
49,686583719294046208,458015801,Negative,2016-01-11 00:00:00,A scary thought for the GOP establishment @CNN https://t.co/Q9mdkDQJV0,http://www.cnn.com/2016/01/11/opinions/castellanos-having-fun-campaigns/index.html,fb531b93c52875724e38af957ee0d90c,A scary thought for the GOP establishment,2016-01-11 13:56:53,cnn,686583719294046208,00100
74,687015549512081413,17728732,Neutral,2016-01-12 00:00:00,"HILLARY IN TROUBLE?  Attacks Sanders, Obama to try boosting candidacy https://t.co/qW6M1uHNLZ via FoxNews #news #breaking",http://www.foxnews.com/politics/2016/01/12/clinton-sharpens-attacks-as-loses-ground-in-iowa-nh.html,c2ba9b751dead8f0de93c487a1ba43fb,"HILLARY IN TROUBLE?  Attacks Sanders, Obama to try boosting candidacy",2016-01-12 20:11:16,fox,687015549512081413,00100
124,686533852500656128,15195038,Neutral,2016-01-11 00:00:00,"#TheNewsClub Conservative elite, sounding a bit panicked, says Trump… https://t.co/yueE17WOni #RedState #Trump2016 https://t.co/di2pTtcNLi",http://www.foxnews.com/politics/2016/01/11/conservative-elite-sounding-bit-panicked-says-trump-will-destroy-gop.html,143daf77ebc254da03cf89b2488365ef,"MEDIA BUZZ: Conservative elite, sounding a bit panicked, says Trump will destroy GOP - Trump says Cruz should resolve citizenship issue - Carson prays with Clemson coach ahead of title game - CAMPAIGN 2016 LIVE BLOG",2016-01-11 12:11:43,fox,686533852500656128,00100
174,704291865613324289,25945980,Neutral,2016-02-29 00:00:00,"Marco Rubio on Donald Trump: ''He's not gonna make America great, he's gonna make America orange"":  https://t.co/UemHUctOi7",http://www.cnn.com/2016/02/28/politics/marco-rubio-donald-trump-make-america-orange/index.html,f059b8f33263401edf32fcd0159f67f4,"Rubio on Trump: 'He's not gonna make America great, he's gonna make America orange'",2016-02-29 03:44:58,cnn,704291865613324289,00100
175,706500567380598784,25945980,Neutral,2016-03-06 00:00:00,"Poll: Trump, Clinton lead the way in Michigan:  https://t.co/fUCIUSbDd9",http://www.cnn.com/2016/03/06/politics/michigan-poll-donald-trump-hillary-clinton/index.html,b6361f4f0608f342160cfd26b5f2cbad,"Poll: Trump, Clinton lead the way in Michigan",2016-03-06 14:54:11,cnn,706500567380598784,00100
199,701434726746206208,345517008,Neutral,2016-02-21 00:00:00,CAMPAIGN 2016 OPINION Could we be looking at a Clinton-Trump contest? https://t.co/qzmH0bDekk,http://www.foxnews.com/opinion/2016/02/20/america-could-be-looking-at-trump-clinton-contest.html,d22acf24a2b8f82eb59b4e17fc54ee89,"CAMPAIGN 2016 OPINION Could we be looking at a Trump, Clinton contest?",2016-02-21 03:37:02,fox,701434726746206208,00100
204,703050595309989888,25945980,Neutral,2016-02-26 00:00:00,GOP debate: Marco Rubio swings at Donald Trump:  https://t.co/GVs5YmJ68g,http://www.cnn.com/2016/02/25/politics/republican-debate-highlights/index.html,3951d72a872c713b1860ab83e9535379,Republicans gather for high-stakes debate before Super Tuesday,2016-02-25 20:05:54,cnn,703050595309989888,00100
225,690686134108733440,17728732,Positive,2016-01-23 00:00:00,"FOX NEWS POLL  Trump, Cruz top GOP race, few have 'birther' concerns https://t.co/TZ0icCgbYD via FoxNews #news #breaking",http://www.foxnews.com/politics/2016/01/22/fox-news-poll-trump-cruz-top-gop-race-few-have-birther-concerns.html,2c835e14c004410bb0cbb7e641d32f2f,"FOX NEWS POLL  Trump, Cruz top GOP race, few have 'birther' concerns",2016-01-22 23:34:33,fox,690686134108733440,00100
226,693896589555867648,15195038,Neutral,2016-01-31 00:00:00,#TheNewsClub Defiant Martin O'Malley insists he won't play Iowa kingmaker https://t.co/lk1a72Z4DO #Foxnews #i https://t.co/q4QWpqnkOB,http://www.politico.com/story/2016/01/martin-omalley-iowa-caucuses-sanders-clinton-218486,8772a3e5216ceb2af24075e5120aa13e,Defiant Martin O'Malley insists he won't play Iowa kingmaker,2016-01-31 20:33:36,politico,693896589555867648,00100
