author,follower_ct,friends_count,favourites_count,verified
3310803258,2106,2622,5566,False
44357949,287,195,4,False
3397533639,5050,75,9091,False
23157055,8484,1114,340,False
29350208,343,918,65,False
305453378,316,507,1162,False
379451787,21,78,0,False
28465478,50147,39451,378,False
1594972488,58,64,0,False
1561868684,583,1712,150,False
601217357,425,184,4030,False
21220931,223720,2624,5629,True
419045713,390,253,823,False
93477200,2671,1980,839,False
44983352,1117,2321,22734,False
20928850,655,555,1368,False
16472403,172,689,156,False
14244180,5374,4140,39,False
225630549,7243,8006,16681,False
16505174,2188,2234,28432,False
101243223,761,641,6665,False
4163950938,120,318,3539,False
30430197,617,1201,621,False
162126174,143,934,7,False
21352165,16,73,13,False
1017141601,10,8,375,False
97737058,789,471,155,False
26106212,154,253,144,False
563239270,1106,1975,280,False
60414311,429,668,94,False
19323241,4694,4452,6426,False
23779690,884,1985,7229,False
36690283,4827,4030,2018,False
717128669169377281,1571,3422,97,False
437216317,782,849,754,False
79236840,677,1552,4824,False
18438514,1515,1933,1464,False
1739355938,103,63,0,False
94230903,1046,2058,835,False
1660991892,274,111,168,False
247158091,161,292,227,False
17881467,23416,1365,5331,True
2863815036,1607,1565,17212,False
19028350,10317,9595,2611,False
477485439,19710,16341,149,False
66050432,934,4373,67,False
307946560,1827,88,6,False
74144130,25183,14499,34746,False
46913923,,,,
362862982,216,363,2515,False
464017799,1335,1220,83,False
1665552108,614,765,1543,False
41507212,4381,5001,10622,False
2470241346,743,1253,203,False
18471310,2698,1189,1145,False
394811791,3074,3358,281,False
45439376,2442,2057,2615,False
3092765073,287,340,4665,False
9820562,308,697,29,False
634676291,49647,5694,21408,False
19061140,17,54,7,False
360599278,100,355,588,False
14660096,3972,3316,60,True
2250168727,3176,3097,61,False
143608757,1861,1732,24856,False
291527066,92,182,3,False
853694875,353,167,89,False
1077434780,672,1960,67,False
17979805,191,439,23107,False
216029598,247,769,1298,False
2886195617,1129,1246,8577,False
3198310818,162,157,4604,False
25639323,41782,46354,5448,False
85708529,203,68,125,False
1702156712,5571,5173,12,False
3020806570,2102,2039,13,False
91150764,6077,810,226,False
114771281,16,17,59,False
33662024,293,885,133,False
15423922,,,,
17095091,2034,1944,7501,False
2786245022,26,0,0,False
43375031,1010,540,1181,False
17468666,2932,4990,34346,False
40778143,210,756,5702,False
946723260,1233,1858,2427,False
98621885,4520,3472,214,False
15063486,73513,72096,19460,False
123599615,417,650,5596,False
565650088,119,134,48,False
375249345,329,295,342,False
25778627,201,619,77,False
3699038661,245,432,9,False
19225030,594,2064,338,False
4416625097,6804,4528,4395,False
182704586,96,496,5076,False
3004193227,520,606,99,False
1710479820,9,100,0,False
14539213,1048,2211,5889,False
24467920,1187,1278,262,False
537774733,184,111,460,False
1928681942,4202,3491,993,True
383408601,267,475,2,False
2220534481,1420,626,1560,True
375183837,1742,2005,13757,False
619651352,697,525,476,False
4890515936,224,142,418,False
353360353,146,297,1437,False
182258630,1059,1127,1145,False
43080163,1818,2033,0,False
44844722,520,869,6766,False
284744166,64,94,790,False
265705962,17428,5781,53912,True
257808875,360,347,3285,False
164624206,178,639,20,False
2307021294,6388,6495,29431,False
1452658429,677,1134,238,False
72178161,1634,1379,11,False
18635250,2883,4440,5916,False
22436341,292,1162,1587,False
14637560,48588,42282,1194,False
15555065,304,691,3,False
15529730,898,439,32,False
169021183,678,2104,786,False
21355004,158,518,83,False
342942805,2295,2208,12113,False
18566912,14432,762,30,True
541284866,1950,1692,866,False
297542742,49,233,4,False
55040518,31,32,1,False
14834184,6339,4186,4257,False
190503349,365,285,675,False
52517387,151,486,1022,False
419256844,1720,1784,5394,False
18468610,1756,2697,45,False
382654990,50,105,1022,False
4722678288,210,327,460,False
330703960,560,1449,168,False
13064722,1176,593,1212,False
1523505684,956,1969,8822,False
205949397,170,796,1438,False
154521153,1130,1971,111,False
4196784663,31,184,1,False
23550489,740,333,307,False
22698522,627,734,1687,False
47405595,207,227,630,False
3287916110,31055,25740,26507,False
48552480,900,2010,14356,False
419161179,199,534,587,False
24627574,542,895,36922,False
369318439,7096,7749,17429,False
23681578,2527,3385,0,False
3014679083,191,274,829,False
32758316,912,97,85,False
74832429,1574,1262,1096,False
3041355094,2451,1475,1095,False
119757360,1213,1052,197,False
