author,follower_ct,friends_count,favourites_count,verified
23657527,1385,1292,13,False
72149482,1270,685,752,False
51684249,,,,
216068678,361,252,0,False
137840213,3379,73,0,False
9300262,1589548,1221,2,True
3452766143,333,1114,48,False
380125872,206,0,0,False
2843901666,8217,8051,574,False
219913533,3784,82,0,False
465446166,196,200,11,False
4842961565,158,0,13,False
4369315334,7,40,0,False
2352351271,186,78,270,False
213711475,3646,3357,191,False
103576819,812,1880,33,False
128833664,2047,1531,78,False
138223751,296,379,0,False
351039315,289,158,13,False
2458112414,3534,31,0,False
3393088392,778,2948,26,False
759251,25463575,1118,1390,True
110466097,5675,744,829,False
2274839983,295,6,3,False
25945980,437,2078,93,False
138218746,154,155,0,False
42826190,1491,0,0,False
17398510,1599,1609,72,False
2746186589,9139,10083,51,False
102388126,928,410,50,False
21428264,74021,5301,180,False
603798545,415,1038,7,False
4920999862,339,64,0,False
458015801,2532,1025,15504,False
16242158,611,22,6,False
787546010,1549,170,0,False
273015689,928,423,17,False
326616900,2289,2551,5,False
266876176,344,395,0,False
1493962777,27,72,856,False
242011966,3082,1096,0,False
4900202957,65,1,4,False
336041336,354,166,1009,False
1382371712,1181,794,850,False
35402311,1550,1729,3,False
17728732,2088,1512,386,False
59500657,24439,786,947,False
220582239,2443,26,0,False
32305967,1329,1818,0,False
2976014469,2020,1160,255,False
72684249,476,19,0,False
1554254419,34,121,0,False
14365762,4311,5044,22,False
44356510,1257,797,108,False
41829280,11671,11652,262,False
13850422,623904,768,177,True
347856887,1625,556,9,False
666893,494,288,0,False
390381898,529,81,35,False
3299093231,158,0,0,False
238027836,2875,1688,2,False
2823283968,516,272,12,False
4368329412,14,44,2,False
15195038,8298,6586,593,False
145213760,796,162,2,False
179912967,3282,3574,5651,False
1965318876,1878,1307,47,False
17544215,271,234,68,False
242674159,1113,2157,46,False
3585493334,252,487,2,False
518663799,1425,1032,459,False
825772045,6293,5273,865,False
138228941,176,393,0,False
441660597,758,1829,0,False
4721189868,621,668,193,False
28818582,791,245,0,False
91295286,804,1110,0,False
143599815,3310,3538,0,False
345517008,2683,2168,8,False
8442262,611,379,46,False
2455802329,144,451,4,False
31559242,9254,1,0,False
4627478657,5602,4707,10756,False
25361741,2739,4415,14524,False
3973558348,435,390,27,False
1412933454,401,31,0,False
14549486,958,2097,644,False
36987190,2461,2196,0,False
299642852,352,10,0,False
216773337,250,560,0,False
32498028,100,141,1098,False
4368819793,39,82,0,False
2371825659,1181,742,16691,False
23812877,2648,3012,4,False
711881270,1718,2030,432,False
94259381,529,438,8,False
3243261234,596,7,65,False
17097801,248,791,8,False
110817971,222,4,0,False
3089064510,6609,338,2147,False
3462931097,2281,768,0,False
23228167,303,391,206,False
59554714,1387,1271,303,False
1595026933,58,761,0,False
2746597938,1062,1136,6138,False
3484664416,48,71,0,False
31330515,1881,1383,46,False
587782307,5125,5105,9430,False
24481831,80123,4905,902,False
988156549,12420,620,495,False
35009948,1359,1432,0,False
59637228,115,240,51,False
16911584,890,578,520,False
421529297,268,539,2169,False
2510356861,80,42,2388,False
154588808,856,286,129,False
457039206,2060,1675,184,False
219433169,286,995,21,False
461677954,2112,1495,0,False
17357759,2525,4096,3334,False
301954928,505,738,28,False
1424071273,1586,1015,1909,False
16311797,92972,233,839,True
951915308,3129,932,2198,False
54699014,7149,4007,93,False
19416435,416,764,34,False
3890143611,1,0,0,False
3108351,11090048,1062,1296,True
3935017274,,,,
5972162,7592,7543,249,False
87063281,21682,1062,1681,True
15368940,44850,22884,965,False
1739347796,104,53,0,False
1594970970,58,755,0,False
235133788,4346,3154,2050,False
114250263,17,12,0,False
1337701542,1124,60,1,False
592236456,196,354,7130,False
385469663,1071,1885,35,False
537846035,,,,
546744362,348,1030,18,False
420484022,325,161,514,False
22842302,18822,23,0,False
108816293,619,410,183,False
16953756,5556,1673,6,False
2271203154,2693,2874,110,False
227727275,333,933,4195,False
291774022,11272,9674,9214,False
403158792,625,399,5048,False
3847451,683,645,1144,False
44603448,753,128,130,False
35241709,922,1718,135,False
849342841,3228,2945,5179,False
904066344,661,415,298,False
1710547688,41,0,0,False
1622764956,76,276,2,False
1942242588,778,626,5867,False
4426507168,1007,1218,0,False
16672155,826,2006,52,False
399145586,277,1203,181,False
227373977,23204,2897,6126,True
46711635,225,1998,7,False
173699976,401,684,466,False
19537408,112,42,840,False
122819549,6818,6446,8752,False
1710537865,7,99,0,False
275796663,346,1177,1415,False
3008410067,,,,
15515169,65813,11725,1425,True
15646377,128,31,90,False
4654869147,121,200,57,False
104971300,7081,7521,6158,False
15694631,375,516,1,False
48310959,473,964,82,False
752404544,,,,
222622640,29644,2336,16679,True
78569026,58542,26438,1138,False
28052578,382,67,11,False
939616267,187,130,0,False
22507598,2592,2411,134,False
4242964449,108,126,1692,False
52385836,1239,2121,1103,False
4880736665,27799,3912,1496,False
48956768,1630,1866,624,False
20077668,617,1434,20,False
347254607,292,422,339,False
28365586,837,2262,5228,False
64088396,47541,1620,269,True
20808984,3250,2196,979,False
19102399,264,329,3246,False
860807707,4235,4090,81993,False
31915600,648,402,116,False
20834340,1106,2829,1583,False
218276360,6229,711,2423,True
3681149729,188,193,3016,False
2886421170,,,,
117509692,4553,642,131,False
52989817,7735,7583,224,False
60100694,1500,1950,17,False
3711514341,1539,2528,5,False
312477667,48,280,60,False
19458818,15743,8531,6330,False
70742961,4538,4595,3253,False
121325408,101,310,342,False
320338274,1325,2005,3883,False
32905835,143,366,23,False
114045732,3,22,5,False
16118697,964,973,186,False
17147215,1642,2393,4758,False
63502461,10104,305,296,False
444768566,38,13,102,False
401796789,149,286,452,False
15432406,1530,369,119,False
236026761,55454,3706,7379,True
4122870260,,,,
14654038,4349,823,5374,False
3016742921,149,212,427,False
38889717,94,239,75,False
3408762575,2519,639,10452,False
955736706,1462,430,0,False
138747687,265,709,15471,False
225684809,2814,2525,4466,False
61577178,3150,4742,12519,False
1059649514,274,250,91,False
2888048500,121,285,212,False
54933583,81,115,151,False
378122807,589,832,2055,False
491683083,3259,387,144,False
16180245,21,109,37,False
364689657,635,464,508,False
229207628,1625,2172,17878,False
365949021,20,70,8,False
22990869,308,332,90,False
810188683,411,348,0,False
200952002,352,1989,7166,False
17028079,1523,2057,5969,False
17693635,279,296,30,False
25194540,11796,11690,2796,False
161734081,618,433,1299,False
582426351,133,293,4860,False
90613781,8330,8486,12283,False
18727438,4337,2422,78,False
352574876,77,155,224,False
270437243,8595,5511,23843,False
64460304,763,878,25866,False
143891817,348,1076,556,False
509285375,,,,
2841377931,1894,1842,1238,False
1096105645,3479,3270,19372,False
381263872,49,50,0,False
30953357,921,1274,3531,False
3890468908,2,0,0,False
763403,1849,333,2533,False
34973389,3215,3224,563,False
16376112,681,2077,34,False
133546344,5263,5707,109,False
1146424802,501,1128,2566,False
86985994,3592,3290,1501,False
139644354,249,1258,795,False
2163374532,307,353,3409,False
21075892,894,2044,229,False
44632333,2207,1641,23134,False
424400406,319,996,1093,False
262627111,100413,99061,1734,False
3077240301,92,387,338,False
472322926,135,695,955,False
13160652,3683,3655,440,False
800791814,3,18,0,False
234844757,1498,1394,16574,False
1013558473,2524,147,512,False
138153345,1230,2147,1556,False
3264123186,109,16,3533,False
601211888,1143,571,5417,False
18416839,5538,3822,30,False
318073012,2615,2605,1209,False
3305387394,440,1087,3941,False
811039837,669,1680,1532,False
264129564,13663,13706,292,False
90116111,1414,2183,400,False
408757827,597,1522,315,False
464767923,8848,8448,3479,False
3401497234,681,1508,3987,False
17223391,626,2944,877,False
21689408,2721,94,4950,True
2691316478,189,644,634,False
52662757,2190,2233,2,False
297101242,1397,569,0,False
39303002,1269,130,60,False
336323449,734,169,202,False
16005023,239,630,1579,False
949162658,806,1636,31324,False
465743152,371,521,1105,False
17895921,1325,1290,5755,False
4227401326,,,,
118851701,167,543,370,False
84108069,437,474,4,False
253148437,387,402,1638,False
4495560806,85,174,0,False
91150764,6062,810,223,False
170101858,153,1054,1188,False
556196195,12,34,4,False
47712082,418,961,139,False
4874707769,4657,4950,43,False
634734888,20720,1385,46037,True
1950160328,50,44,200,False
210460833,285,1280,60,False
16228257,36526,9182,7402,True
19037624,142,154,14,False
15665774,30,102,12,False
51596011,3128,2054,5,False
398823536,81,132,37,False
183353672,4711,1009,1285,False
37525995,69,303,4,False
22523182,31975,18834,8201,False
16160943,10266,9781,631,False
1334676336,2417,2320,1337,False
2698953733,170,181,3523,False
20966916,44,349,0,False
61267358,2940,1002,276,True
4360523415,8,2,0,False
246593922,1866,788,857,False
3375129202,876,698,6854,False
281792021,867,458,4135,False
2300062526,560,1684,327,False
226484976,4167,4452,396,False
123059570,1688,1822,17244,False
239025975,4371,4576,43518,False
3003581225,865,814,13,False
37005676,1012,1311,3980,False
21800701,251,263,176,False
302492414,46,88,0,False
29445392,391,1065,316,False
17723632,12085,10960,16906,False
385849067,79,1023,10,False
126952096,2223,2069,120,False
2559161437,,,,
241776425,19598,19985,94262,False
4634368761,68,209,713,False
4837774045,,,,
77197634,17107,15972,3803,False
1592313872,,,,
1703115326,,,,
19428892,3145,3429,2844,False
993358020,5573,5712,4356,False
1368571,3390,375,1139,False
27451096,60,152,9,False
62873769,381,676,1672,False
42638933,996,1758,47,False
34407624,276,1105,100,False
141654097,1482,1066,31,False
402484270,287,406,2456,False
1442069419,1013,1161,332,False
424594686,783,387,4619,False
4777033921,2,2,0,False
963176808,1730,985,908,False
135315293,2764,2488,7879,False
21024360,2644,4582,1063,False
22586019,2273,1502,546,False
215141944,1303,1598,1,False
15057759,611,2011,2,False
32298202,1888,2515,2983,False
291513513,114754,101288,1808,False
21350370,688,1355,99,False
666063,265,175,28,False
2453902872,27,62,4,False
15257682,34547,7092,367,False
111958328,5707,6240,0,False
17836882,236992,1391,3673,True
697353,799,1554,294,False
1087449247,129,179,1398,False
2267165156,1080,589,9262,False
18072119,3447,1492,4197,False
374547405,2762,3101,17418,False
139419956,539,245,400,False
17669448,10471,573,24,False
26131382,31,49,167,False
113250460,3255,1843,8503,False
563239270,1105,1974,280,False
3270656238,469,100,0,False
216433448,364,1576,15,False
509119304,617,454,1,False
33640333,149,118,110,False
278345370,323,910,634,False
464982966,81,36,34,False
60061504,748,388,16962,False
1228236613,310,137,1044,False
30547952,8320,8309,418,False
86189825,468,409,5060,False
2890210305,676,918,6266,False
218252573,525,334,385,False
37619071,974,1770,67,False
47584729,459,2637,474,False
294479557,489,208,5762,False
139931824,107,282,4182,False
13227982,151,102,340,False
142894033,247,354,173,False
58600829,149,325,80,False
2718411805,1162,1005,596,False
287816501,850,484,5840,False
16422635,1159,1179,3389,False
91689234,1266,2476,2855,False
2982652462,11,40,38,False
1703489076,694,568,0,False
1390413780,305,90,483,False
614236793,50,122,2442,False
17763421,13427,385,415,False
21695870,61,77,8,False
15782404,491,423,137,False
474559994,647,716,226,False
283631263,3551,3891,1940,False
171952791,62,254,27,False
547900505,1296,2406,271,False
16601559,119,27,78,False
3260503620,4890,5248,55677,False
22733268,24355,12343,12,False
247460595,83,241,233,False
23327374,310,489,339,False
531745084,47,68,41,False
4241614274,91,472,198,False
701821488,4691,514,1,True
570348533,4132,1514,46,False
3194899940,3049,3395,15892,False
710990834972233728,22505,22022,10997,False
15906702,2533,1514,22978,False
33827083,933,2072,12772,False
22410301,14160,3242,117,False
219149924,639,2037,219,False
911086212,2199,2448,742,False
66783286,736,181,293,False
20284379,2451,2128,2091,False
177900605,1063,475,26070,False
105176483,1402,2021,58,True
110329526,811,2022,19,False
381928602,4371,3953,2968,False
2304362828,773,406,379,True
74760597,6337,6571,575,False
177856221,435,988,7,False
22202811,93,103,141,False
3036592718,80,296,3,False
24523863,2708,3077,49,False
322564915,2025,779,1124,False
330494206,116,414,159,False
4686976566,,,,
4416625097,6797,4529,4395,False
22868344,927,42,0,False
3225642185,392,388,1551,False
1499079769,492,491,876,False
4819755191,2370,3975,0,False
2165743896,17,94,660,False
16494410,835,587,855,False
83783442,2137,1089,103899,False
48490006,19191,4073,47492,True
552260916,1062,1599,9897,False
53058728,5541,4046,2538,False
1024537795,628,2027,564,False
859595520,1174,1171,7948,False
2153834941,518,677,2087,False
19141265,465,796,375,False
102150935,849,1234,5467,False
