author,follower_ct,friends_count,favourites_count,verified
707304985495805952,58,1,0,False
707266734424788992,23,10,0,False
98543618,14542,2067,95,True
16957443,3433,3348,4078,False
15513604,569522,2594,4054,True
229992790,6714,6620,39,False
722328013736574976,,,,
17997831,1720,2792,432,False
141942792,1271,2040,1,False
4591396873,64,60,0,False
939616267,188,130,0,False
825772045,6282,5271,865,False
21301933,15391,3031,557,False
504129552,1174,1547,51196,False
48799761,5745,5883,10945,False
25393191,1441,3280,43,False
2924158996,,,,
36890646,23978,1955,376,True
594062359,433,1893,4,False
603074585,474,366,1351,False
38652595,592,656,8,False
3295325530,112,279,125,False
1218566174,2654,2339,2,False
17901573,408,459,38,False
292374563,22421,14737,145,False
196452389,313,594,342,False
17066022,7446,840,2102,True
2352351271,184,78,270,False
21428264,74016,5210,180,False
15786332,2441,1302,10449,False
546744362,349,1029,18,False
20268039,936,96,5552,False
18013192,79,0,0,False
227819570,738,731,7,False
1595026099,60,62,0,False
3307778821,1127,253,3,False
280664117,12850,5468,2812,True
17920055,5903,5721,177,False
617246776,25188,17034,60,False
51730100,87,1249,1863,False
3677775437,5542,1048,17251,False
14377023,2095,1002,35,False
752404544,,,,
1965903937,,,,
2998408203,546674,40,193067,False
2340679891,51,10,0,False
1199596897,5132,5581,2488,False
312248392,12222,8722,98731,False
22216777,906,1889,242,False
3973558348,428,390,27,False
20021325,2399,2469,113,False
222242894,509,689,13,False
216810509,3869,4222,46,False
766728272,243,298,1,False
2928443473,27,6,0,False
54257746,2284,2495,4060,False
260819116,140,10,1267,False
60100694,1493,1950,17,False
417603671,361,850,322,False
547969112,113235,57359,16379,False
1214302297,16,196,3,False
621299727,511,275,54,False
2196815964,6378,5758,647,False
3914047581,24370,884,12115,False
264861791,704,1104,194,False
128450657,1975,2246,11,False
90077282,11179,2236,113,True
109320292,657,1638,1,False
1570407782,653,1638,26,False
2595467366,1742,1737,8124,False
236054545,2373,2345,7504,False
18165865,4931,5370,2366,False
174743659,688,1018,35,False
1595002988,61,736,0,False
437019753,11561,2592,2327,False
1258217582,1469,723,0,False
59500657,24428,787,947,False
373397618,4560,4967,4390,False
1214290622,12,95,4,False
411621494,3633,2889,288,False
55072887,382,914,19,False
75939860,11752,2205,2646,True
17703035,1698,4611,3311,False
92995708,4057,2297,2231,False
21688445,2014,1571,9074,False
1214283902,,,,
14669951,933467,2,0,False
128833664,2041,1531,78,False
4627478657,5620,4708,10757,False
36690283,4823,4029,2018,False
3300847748,485,456,1,False
2976014469,2024,1160,255,False
709357254131191808,14,28,3,False
138223751,293,379,0,False
3015604913,5929,288,1,False
5392522,5908597,73195,1689,True
4719313943,,,,
312149882,71599,28609,1102,False
17759597,9074,3283,2216,True
3669655696,2248,2066,20846,False
3086975121,4024,3853,2030,False
95463107,27100,2142,155,False
762534037,8280,1918,100,False
1214300311,13,94,4,False
17322445,30250,407,1215,True
1553039516,2712,2454,7021,False
3890391197,2,0,0,False
16734667,9598,9230,29,False
16181407,38,67,19,False
55046304,144,390,34,False
22659233,888,1319,166,False
314243234,20664,13859,398,False
5849252,1033,601,62,False
2344222885,1506,1002,12956,False
3270783145,598,9,8,False
67088479,3103,505,595,True
19101867,5396,1188,1610,False
