,tid,url
1697131,712468749975199744,http://adf.ly/10512945/http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNH9lmi8Ozv42CRPMMIcmiSNa2ErnA&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779067580913&ei=1wHyVsHMJZbH3gHI7bmYAw&url=https://www.washingtonpost.com/news/the-fix/wp/2016/03/22/donald-trump-just-threatened-to-spill-the-beans-on-ted-cruzs-wife/
874536,695481416482557952,http://bigstory.ap.org/article/834576da3fd14a7c92490eac6faf0202/latest-rubio-works-court-rand-paul-supporters
530179,704462317673693184,http://blogs.wsj.com/washwire/2016/02/29/secret-service-agent-slams-down-photographer-at-donald-trump-rally/
1307395,704687955546345472,http://edition.cnn.com/2016/03/01/politics/donald-trump-hillary-clinton-bernie-sanders-poll/index.html
515751,701436776020369408,http://feeds.huffingtonpost.com/c/35496/f/677045/s/4dbe69af/sc/7/l/0L0Shuffingtonpost0N0C20A160C0A20C210Cbernie0Esanders0Enevada0Eturnout0In0I92850A840Bhtml/story01.htm
1565663,709740278303817728,http://feeds.huffingtonpost.com/c/35496/f/677045/s/4e46f5b4/sc/7/l/0L0Shuffingtonpost0N0Cmusa0Ealgharbi0Cthe0Ednc0Eis0Eabout0Eto0Ecoronate0Edonald0Etrump0Ib0I94623740Bhtml/story01.htm?utm_source=feedburner&utm_medium=twitter&utm_campaign=Feed%3A+huffingtonpost%2FlfkD+%28The+Full+Feed+from+HuffingtonPost.com%29
1736304,713885446690832384,http://feeds.huffingtonpost.com/c/35496/f/677045/s/4e88106f/sc/7/l/0L0Shuffingtonpost0N0Cbrian0Ehanley0Cbernie0Esanders0Ewins0Eby0Ea0Ib0I95517680Bhtml/story01.htm?utm_source=feedburner&utm_medium=twitter&utm_campaign=Feed%3A+huffingtonpost%2FlfkD+%28The+Full+Feed+from+HuffingtonPost.com%29
199104,718730335903567872,http://feeds.huffingtonpost.com/c/35496/f/677060/s/4ed35e83/sc/7/l/0L0Shuffingtonpost0N0C20A160C0A40C0A90Cbill0Emaher0Epunt0Egop0In0I96487860Bhtml0Dutm0Ihp0Iref0Fentertainment0Gir0FEntertainment/story01.htm
712378,704389564119388160,http://feeds.huffingtonpost.com/c/35496/f/677081/s/4def6158/sc/7/l/0L0Shuffingtonpost0N0C20A160C0A20C290Cnyt0Etrump0In0I93497120Bhtml0Dutm0Ihp0Iref0Fmedia0Gir0FMedia/story01.htm?utm_source=dlvr.it&utm_medium=twitter
435177,697627317032587265,http://feeds.huffingtonpost.com/c/35496/f/677086/s/4d80fcb1/sc/13/l/0L0Shuffingtonpost0N0Cruss0Ebelville0Chillarys0Esuperdelegate0Eco0Ib0I920A62520Bhtml0Dutm0Ihp0Iref0Fpolitics0Gir0FPolitics/story01.htm
