"","X","url","sentiment_mean","num_tweets","wc","negativ_ct","positiv_ct","negativ_percent","positiv_percent","emotionality","positivity","log_emotionality","log_wc","log10_wc","sqrt_wc","log_num_tweets"
"1",0,"http://www.cnn.com/2016/01/06/politics/ted-cruz-birthplace-donald-trump/index.html",0.0484848469496,165,624,7,9,0.0112179487179,0.0144230769231,0.025641025641,0.00320512820513,-5.28540221886369,6.43615036836943,2.79518458968242,24.9799919935936,5.10594547390058
"2",1,"http://www.huffingtonpost.com/michael-b-keegan/the-deafening-silence-of_b_8924170.html",-0.0588235296309,51,262,2,3,0.00763358778626,0.0114503816794,0.0190839694656,0.00381679389313,-5.71149490665378,5.5683445037611,2.41830129131975,16.1864140562386,3.93182563272433
"3",2,"http://www.npr.org/2016/01/17/463371479/are-trump-s-values-consistent-with-evangelicals",0,36,29,0,1,0,0.0344827586207,0.0344827586207,0.0344827586207,-4.85798099512714,3.36729582998647,1.46239799789896,5.3851648071345,3.58351893845611
"4",3,"http://www.politico.com/story/2016/01/russell-moore-trump-217939",0.727272748947,33,1207,11,15,0.00911350455675,0.0124275062138,0.0215410107705,0.003314001657,-5.53677024261429,7.09589322109753,3.08170727009735,34.7419055320804,3.49650756146648
"5",4,"http://www.cnn.com/2016/01/20/politics/climate-data-hottest-year-2016-elections-bernie-sanders/index.html",0.0714285746217,28,303,2,2,0.00660066006601,0.00660066006601,0.013201320132,0,-6.24317398347439,5.71373280550937,2.4814426285023,17.4068951855292,3.3322045101752
"6",5,"http://www.politico.com/story/2016/01/megyn-kelly-donald-trump-218305",1,25,1578,13,8,0.00823827629911,0.00506970849176,0.0133079847909,-0.00316856780735,-6.23156406723194,7.36391350140582,3.1981069988734,39.7240481320824,3.2188758248682
"7",6,"http://www.cnn.com/2016/01/20/politics/donald-trump-sarah-palin-michael-glassner/index.html",0.228571429849,35,212,3,1,0.0141509433962,0.00471698113208,0.0188679245283,-0.00943396226415,-5.72792045456334,5.35658627467201,2.32633586092875,14.560219778561,3.55534806148941
"8",7,"http://www.cnn.com/2016/02/02/politics/donald-trump-iowa-new-hampshire/index.html",0,141,186,1,0,0.00537634408602,0,0.00537634408602,-0.00537634408602,-7.53915881110844,5.2257466737132,2.26951294421792,13.6381816969859,4.94875989037817
"9",8,"http://www.cnn.com/2016/02/02/politics/marco-rubio-new-hampshire-2016/index.html",0.125,16,283,1,3,0.00353356890459,0.0106007067138,0.0141342756184,0.00706713780919,-6.14465824282929,5.64544689764324,2.45178643552429,16.8226038412607,2.77258872223978
"10",9,"http://www.cnn.com/2016/02/04/politics/bernie-sanders-jewish-new-hampshire-primary/index.html",0.785714268684,42,1694,14,20,0.00826446280992,0.0118063754427,0.0200708382527,0.00354191263282,-5.63875531807873,7.434847875212,3.22891340599469,41.1582312545134,3.73766961828337
"11",10,"http://www.cnn.com/2016/02/08/politics/donald-trump-bernie-sanders-new-hampshire-poll/index.html",0.807692289352,52,414,1,0,0.0024154589372,0,0.0024154589372,-0.0024154589372,-8.69348695749817,6.02586597382531,2.6170003411209,20.3469899493758,3.95124371858143
"12",11,"http://www.cnn.com/2016/02/02/opinions/cruz-trump-rubio-clinton-in-iowa-gergen/index.html",0.899999976158,10,551,5,4,0.00907441016334,0.00725952813067,0.016333938294,-0.00181488203267,-5.93598350712981,6.31173480915291,2.74115159885178,23.473389188611,2.30258509299405
"13",12,"http://www.cnn.com/2016/02/04/politics/hillary-clinton-bernie-sanders-progressive-fight/index.html",0.0270270276815,37,463,3,4,0.00647948164147,0.00863930885529,0.0151187904968,0.00215982721382,-6.04751346119884,6.13772705408623,2.66558099101795,21.51743479135,3.61091791264422
"14",13,"http://www.cnn.com/2016/02/06/politics/ted-cruz-super-pac/index.html",1,82,990,5,12,0.00505050505051,0.0121212121212,0.0171717171717,0.00707070707071,-5.86382187371808,6.89770494312864,2.99563519459755,31.4642654451045,4.40671924726425
